article_id,title,link,keywords,creator,description,content,pubDate,pubDateTZ,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,language,country,category,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,duplicate
e6664a10e9aa65a6b410316bfba47818,Is Apple Inc. (AAPL)the Top Tech Stock to Buy According to Billionaire Ken Fisher?,https://ca.finance.yahoo.com/news/apple-inc-aapl-top-tech-162240695.html,['business'],['Insider Monkey'],"We recently published a list of Top 12 Tech Stocks to Buy According to Billionaire Ken Fisher. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other top tech stocks to buy according to billionaire Ken Fisher. Under the umbrella of Fisher Asset Management, Billionaire Ken Fisher [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 16:22:40,UTC,https://s.yimg.com/uu/api/res/1.2/fTPNobtT0bdcSxj2xXAamw--~B/aD04MTY7dz0xNDU2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/bd47dc2e86b4a3086f845d200d9daf1f,,yahoo,Yahoo! News,17,https://news.yahoo.com,https://i.bytvi.com/domain_icons/yahoo.png,english,['canada'],['sports'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
795d80de6c085ed4b9f0775e335fcdf2,Is Apple Inc. (AAPL) Among the Best Digital Payments Stocks to Buy According to Analysts?,https://finance.yahoo.com/news/apple-inc-aapl-among-best-121656313.html,,,,ONLY AVAILABLE IN PAID PLANS,2025-04-11 12:16:56,UTC,,,finance_yahoo,Yahoo Finance,192,https://finance.yahoo.com,https://i.bytvi.com/domain_icons/finance_yahoo.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
9870ed1796429014ca61e6ae5fc4f6a0,Is Apple Inc. (AAPL) Among the Best Digital Payments Stocks to Buy According to Analysts?,https://ca.finance.yahoo.com/news/apple-inc-aapl-among-best-121656313.html,['business'],['Insider Monkey'],"We recently published a list of 11 Best Digital Payments Stocks to Buy According to Analysts. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other best digital payment stocks. Digital payment stocks are companies that specialize in designing, developing, or administering digital payment solutions. These firms [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 12:16:56,UTC,https://s.yimg.com/uu/api/res/1.2/fTPNobtT0bdcSxj2xXAamw--~B/aD04MTY7dz0xNDU2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/bd47dc2e86b4a3086f845d200d9daf1f,,yahoo,Yahoo! News,17,https://news.yahoo.com,https://i.bytvi.com/domain_icons/yahoo.png,english,['canada'],['sports'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
c10d196fbf443e03bc0ae3799c5cf1d1,"Artificial Intelligence In Diabetes Management Market Top Companies Study - Vodafone Group PLC, Apple Inc, Google Inc, International Business Machines Corporation (IBM), Glooko Inc, and Tidepool Inc.",https://www.openpr.com/news/3967044/artificial-intelligence-in-diabetes-management-market-top,['health & medicine'],['Insightace Analytic Pvt Ltd.'],"Artificial Intelligence In Diabetes Management Market Size, Share & Trends Analysis Report By Generic Drug (Glasdegib, Sonidegib, Vismodegib), By Dosage (Capsule and Injection), By End User (Homecare, Hospitals, Specialty Clinics), By Region, And By Segment Forecasts, 2025-2034.Artificial Intelligence In Diabetes",ONLY AVAILABLE IN PAID PLANS,2025-04-11 09:49:55,UTC,https://cdn.open-pr.com/L/4/L411577370_g.jpg,,openpr,Openpr.com,36018,https://www.openpr.com,https://i.bytvi.com/domain_icons/openpr.png,english,['germany'],['health'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
88cfc8ac12c8f12315bb53593aa431a6,"American Century Companies Inc. Buys 2,529 Shares of Apple Hospitality REIT, Inc. (NYSE:APLE)",https://www.defenseworld.net/2025/04/11/american-century-companies-inc-buys-2529-shares-of-apple-hospitality-reit-inc-nyseaple.html,"['sec filing articles', 'companies']",['Defense World Staff'],"American Century Companies Inc. lifted its stake in shares of Apple Hospitality REIT, Inc. (NYSE:APLE â€“ Free Report) by 3.4% during the fourth quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor owned 77,398 shares of the real estate investment trustâ€™s stock after purchasing an [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:33:15,UTC,https://www.marketbeat.com/logos/apple-hospitality-reit-inc-logo-1200x675.jpg,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
5b8a38c1b59e1a859a4aa716e004461c,Apple Inc. (NASDAQ:AAPL) Stock Holdings Decreased by Chaney Capital Management Inc.,https://www.defenseworld.net/2025/04/11/apple-inc-nasdaqaapl-stock-holdings-decreased-by-chaney-capital-management-inc.html,"['sec filing articles', 'companies']",['Defense World Staff'],"Chaney Capital Management Inc. trimmed its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.3% in the 4th quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 35,538 shares of the iPhone makerâ€™s stock after selling 484 shares during the quarter. Apple makes up approximately 4.2% [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:21:07,UTC,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
efd3bfdec5a70767ed2f2dc5b3b5bc79,Apple Inc. (NASDAQ:AAPL) is RFP Financial Group LLCâ€™s 4th Largest Position,https://www.defenseworld.net/2025/04/11/apple-inc-nasdaqaapl-is-rfp-financial-group-llcs-4th-largest-position.html,"['sec filing articles', 'companies']",['Defense World Staff'],"RFP Financial Group LLC reduced its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 3.0% during the 4th quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The firm owned 74,614 shares of the iPhone makerâ€™s stock after selling 2,283 shares during the quarter. Apple comprises about [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:21:07,UTC,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
3c3091c064b9ba820e4b95d4b579eb31,Visionary Horizons LLC Grows Stock Position in Apple Inc. (NASDAQ:AAPL),https://www.defenseworld.net/2025/04/11/visionary-horizons-llc-grows-stock-position-in-apple-inc-nasdaqaapl.html,"['sec filing articles', 'companies']",['Defense World Staff'],"Visionary Horizons LLC boosted its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 12.3% in the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 5,753 shares of the iPhone makerâ€™s stock after purchasing an additional 628 shares during the period. Apple [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:21:06,UTC,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
ee0d1c67c8550a0c808af7d63fc64c45,Apple Inc. (NASDAQ:AAPL) Position Lessened by Empirical Finance LLC,https://www.defenseworld.net/2025/04/11/apple-inc-nasdaqaapl-position-lessened-by-empirical-finance-llc.html,"['sec filing articles', 'companies']",['Defense World Staff'],"Empirical Finance LLC cut its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.4% in the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 508,078 shares of the iPhone makerâ€™s stock after selling 7,416 shares during the quarter. Apple [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:21:06,UTC,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
3b97898ee3bb0de7a787670154c7ecff,Empowered Funds LLC Has $124.05 Million Stock Position in Apple Inc. (NASDAQ:AAPL),https://www.defenseworld.net/2025/04/11/empowered-funds-llc-has-124-05-million-stock-position-in-apple-inc-nasdaqaapl.html,"['sec filing articles', 'companies']",['Defense World Staff'],"Empowered Funds LLC boosted its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 16.1% during the fourth quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 495,363 shares of the iPhone makerâ€™s stock after buying an additional 68,537 shares during [...]",ONLY AVAILABLE IN PAID PLANS,2025-04-11 07:21:05,UTC,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,,defenseworld,Defenseworld Net,92509,https://www.defenseworld.net,https://i.bytvi.com/domain_icons/defenseworld.png,english,['united states of america'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
